${appointmentDirector-address}	Appointment Director Address	
${transfer-transferFrom-email}	Shares Transfer - Transfer From email	
${transfer-transferFrom-passport}	Shares Transfer - Transfer From passport	
${transfer-transferFrom-country}	Shares Transfer - Transfer From country	
${transfer-transferFrom-nationality}	Shares Transfer - Transfer From nationality	
${transfer-transferFrom-address}	Shares Transfer - Transfer From address	
${transfer-transferFrom-phone}	Shares Transfer - Transfer From phone	
${transfer-transferFrom-birthday}	Shares Transfer - Transfer From birthday	
${transfer-transferFrom-gender}	Shares Transfer - Transfer From gender	
${transfer-transferFrom-shares_amount}	Shares Transfer - Transfer From actual shares amount	
${transfer-transferFrom-certificate_no}	Shares Transfer - Transfer From actual certificate no	
${transfer-transferFrom-appoint_date}	Shares Transfer - Transfer From date of appoint	
${transfer-transferFrom-cessation}	Shares Transfer - Transfer From cessation (Yes or No)	
${transfer-transferFrom-cessation_date}	Shares Transfer - Transfer From date of cessation	
${transfer-transferTo-name}	Shares Transfer - Transfer To name	
${transfer-transferTo-email}	Shares Transfer - Transfer To email	
${transfer-transferTo-passport}	Shares Transfer - Transfer To passport	
${transfer-transferTo-country}	Shares Transfer - Transfer To country	
${transfer-transferTo-nationality}	Shares Transfer - Transfer To nationality	
${transfer-transferTo-address}	Shares Transfer - Transfer To address	
${transfer-transferTo-phone}	Shares Transfer - Transfer To phone	
${transfer-transferTo-birthday}	Shares Transfer - Transfer To birthday	
${transfer-transferTo-gender}	Shares Transfer - Transfer To gender	
${transfer-transferTo-shares_amount}	Shares Transfer - Transfer To actual shares amount	
${transfer-transferTo-certificate_no}	Shares Transfer - Transfer To actual certificate no	
${transfer-transferTo-appoint_date}	Shares Transfer - Transfer To date of appoint	
${transfer-transferTo-cessation}	Shares Transfer - Transfer To cessation (Yes or No)	
${transfer-transferTo-cessation_date}	Shares Transfer - Transfer To date of cessation	
${CLONE_SHAREHOLDER_TRANSFER}	Copy content inside shareholder transfer count times
Use only with closing placeholder ${/CLONE_SHAREHOLDER_TRANSFER}	
${ROW_SHAREHOLDER_TRANSFER}	Copy table row shareholder transfer count times
Use inside first cell of any table row	
${CLONE_JOB_TRANSFER}	Copy content inside job transfer count times
Use only with closing placeholder ${/CLONE_JOB_TRANSFER}	
${ROW_JOB_TRANSFER}	Copy table row job transfer count times
Use inside first cell of any table row	
${_transfer-from-name}	Transfer From name (use only in clone block)	
${_transfer-from-email}	Transfer From email (use only in clone block)	
${_transfer-from-passport}	Transfer From passport (use only in clone block)	
${_transfer-from-country}	Transfer From country (use only in clone block)	
${_transfer-from-nationality}	Transfer From nationality (use only in clone block)	
${_transfer-from-address}	Transfer From address (use only in clone block)	
${_transfer-from-phone}	Transfer From phone (use only in clone block)	
${_transfer-from-birthday}	Transfer From birthday (use only in clone block)	
${_transfer-from-gender}	Shares Transfer - Transfer From gender (use only in clone block)	
${_transfer-from-shares_amount}	Transfer From actual shares amount (use only in clone block)	
${_transfer-from-certificate_no}	Transfer From actual certificate no (use only in clone block)	
${_transfer-from-appoint_date}	Transfer From date of appoint (use only in clone block)	
${_transfer-from-cessation}	Transfer From cessation - Yes or No (use only in clone block)	
${_transfer-from-cessation_date}	Transfer From date of cessation (use only in clone block)	
${_transfer-to-name}	Transfer To name (use only in clone block)	
${_transfer-to-email}	Transfer To email (use only in clone block)	
${_transfer-to-passport}	Transfer To passport (use only in clone block)	
${_transfer-to-country}	Transfer To country (use only in clone block)	
${_transfer-to-nationality}	Transfer To nationality (use only in clone block)	
${_transfer-to-address}	Transfer To address (use only in clone block)	
${_transfer-to-phone}	Transfer To phone (use only in clone block)	
${_transfer-to-birthday}	Transfer To birthday (use only in clone block)	
${_transfer-to-gender}	Shares Transfer - Transfer To gender (use only in clone block)	
${_transfer-to-shares_amount}	Transfer To actual shares amount (use only in clone block)	
${_transfer-to-certificate_no}	Transfer To actual certificate no (use only in clone block)	
${_transfer-to-appoint_date}	Transfer To date of appoint (use only in clone block)	
${_transfer-to-cessation}	Transfer To cessation - Yes or No (use only in clone block)	
${_transfer-to-cessation_date}	Transfer To date of cessation (use only in clone block)	
${stakeholder-appointment}	Stakeholder date of appointment	
${_shareholder-appointment}	Shareholder date of appointment
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_director-appointment}	Director date of appointment
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_shareholder-created}	Shareholder date of created
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_director-created}	Director date of created
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${_transfer-activeAcquired}	Transfer active Acquired (use only in clone block)	
${CLONE_FUTURE_STAKEHOLDERS}	Copy content inside future stakeholder count times
Use only with closing placeholder ${/CLONE_FUTURE_STAKEHOLDERS}	
${ROW_FUTURE_STAKEHOLDERS}	Copy table row future stakeholder count times
Use inside first cell of any table row	
${_future-name}	Future Shareholder name
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-passport}	Future Shareholder passport
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-country}	Future Shareholder country
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-nationality}	Future Shareholder nationality
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-address}	Future Shareholder address
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-phone}	Future Shareholder phone
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-email}	Future Shareholder email
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${_future-gender}	Future Shareholder gender
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${future-name}	Future Shareholder name	
${future-passport}	Future Shareholder passport	
${future-country}	Future Shareholder country	
${future-nationality}	Future Shareholder nationality	
${future-address}	Future Shareholder address	
${future-phone}	Future Shareholder phone	
${future-email}	Future Shareholder email	
${future-gender}	Future Shareholder gender	
${_future-birthday}	Future Shareholder birthday
Use inside clone future shareholder placeholders (CLONE_FUTURE_STAKEHOLDERS or ROW_FUTURE_STAKEHOLDERS)	
${future-birthday}	Future Shareholder birthday	
${incomingChairman-name}	Incoming Chairman name	
${incomingChairman-passport}	Incoming Chairman passport	
${incomingChairman-country}	Incoming Chairman country	
${incomingChairman-nationality}	Incoming Chairman nationality	
${incomingChairman-address}	Incoming Chairman address	
${incomingChairman-phone}	Incoming Chairman phone	
${incomingChairman-email}	Incoming Chairman email	
${incomingChairman-gender}	Incoming Chairman gender	
${incomingChairman-birthday}	Incoming Chairman birthday	
${secretary-appoint_date}	Secretary Appoint Date	
${secretary-ceased_date}	Secretary Ceased Date	
${job-company_active}	Annual General Meeting Company Active/Inactive	
${job-company_audited}	Annual General Meeting Company Audited/Unaudited	
${job-company_active_dormant}	Annual General Meeting Company Active/Dormant	
${job-before_paid_up_capital}	Paid up capital before increase	
${beneficiary-ben_arrangement}	Client acceptance form - Beneficiary Details	
${shareholder-cessation_date}	Shareholder Cessation Date	
${beneficiary-name}	Client acceptance form - Beneficiary Name	
${beneficiary-passport}	Client acceptance form - Beneficiary Passport	
${beneficiary-birthday}	Client acceptance form - Beneficiary Birthday	
${beneficiary-nationality}	Client acceptance form - Beneficiary Nationality	
${beneficiary-address}	Client acceptance form - Beneficiary Address	
${beneficiary-gender}	Client acceptance form - Beneficiary Gender	
${beneficiary-phone}	Client acceptance form - Beneficiary Phone	
${future_beneficiary-ben_arrangement}	Future Client acceptance form - Beneficiary Details	
${future_beneficiary-name}	Future Client acceptance form - Beneficiary Name	
${future_beneficiary-passport}	Future Client acceptance form - Beneficiary Passport	
${future_beneficiary-birthday}	Future Client acceptance form - Beneficiary Birthday	
${future_beneficiary-nationality}	Future Client acceptance form - Beneficiary Nationality	
${future_beneficiary-address}	Future Client acceptance form - Beneficiary Address	
${future_beneficiary-gender}	Future Client acceptance form - Beneficiary Gender	
${future_beneficiary-phone}	Future Client acceptance form - Beneficiary Phone	
${_transfer-acquiredNote}	Shareholder Shares Transfer - Acquired Note	
${static-na}	Static text - NA	
${ROW_ACQUIRED_TRANSFER}	Copy table row acquired transfer count times
Use inside first cell of any table row	
${ROW_SHAREHOLDER_FROM_TRANSFER}	Copy table row shareholder from transfer count times
Use inside first cell of any table row	
${_shareholder-servicesData-before_share_amount}	Stakeholder shares before increase
Use inside clone shareholder placeholders (CLONE_SHAREHOLDERS or ROW_SHAREHOLDERS)	
${riskAssessment-b1_1_y}	b1_1 show + if value is Yes	
${riskAssessment-b1_1_n}	b1_1 show + if value is No	
${riskAssessment-b1_2_y}	b1_2 show + if value is Yes	
${riskAssessment-b1_2_n}	b1_2 show + if value is No	
${riskAssessment-b1__1_y}	b1__1 show + if value is Yes	
${riskAssessment-b1__1_n}	b1__1 show + if value is No	
${riskAssessment-b1__2_y}	b1__2 show + if value is Yes	
${riskAssessment-b1__2_n}	b1__2 show + if value is No	
${riskAssessment-b1__3_y}	b1__3 show + if value is Yes	
${riskAssessment-b1__3_n}	b1__3 show + if value is No	
${riskAssessment-b1__4_y}	b1__4 show + if value is Yes	
${riskAssessment-b1__4_n}	b1__4 show + if value is No	
${riskAssessment-b1__5_y}	b1__5 show + if value is Yes	
${riskAssessment-b1__5_n}	b1__5 show + if value is No	
${riskAssessment-b1__6_y}	b1__6 show + if value is Yes	
${riskAssessment-b1__6_n}	b1__6 show + if value is No	
${riskAssessment-b1__7_y}	b1__7 show + if value is Yes	
${riskAssessment-b1__7_n}	b1__7 show + if value is No	
${riskAssessment-b1__8_y}	b1__8 show + if value is Yes	
${riskAssessment-b1__8_n}	b1__8 show + if value is No	
${riskAssessment-b1__9_y}	b1__9 show + if value is Yes	
${riskAssessment-b1__9_n}	b1__9 show + if value is No	
${riskAssessment-b1__10_y}	b1__10 show + if value is Yes	
${riskAssessment-b1__10_n}	b1__10 show + if value is No	
${riskAssessment-b1__11_y}	b1__11 show + if value is Yes	
${riskAssessment-b1__11_n}	b1__11 show + if value is No	
${riskAssessment-b2_1_y}	b2_1 show + if value is Yes	
${riskAssessment-b2_1_n}	b2_1 show + if value is No	
${riskAssessment-b2_2_y}	b2_2 show + if value is Yes	
${riskAssessment-b2_2_n}	b2_2 show + if value is No	
${riskAssessment-b2_3_y}	b2_3 show + if value is Yes	
${riskAssessment-b2_3_n}	b2_3 show + if value is No	
${riskAssessment-b2_4_y}	b2_4 show + if value is Yes	
${riskAssessment-b2_4_n}	b2_4 show + if value is No	
${riskAssessment-b3_1_y}	b3_1 show + if value is Yes	
${riskAssessment-b3_1_n}	b3_1 show + if value is No	
${riskAssessment-b3_2_y}	b3_2 show + if value is Yes	
${riskAssessment-b3_2_n}	b3_2 show + if value is No	
${riskAssessment-b3_3_y}	b3_3 show + if value is Yes	
${riskAssessment-b3_3_n}	b3_3 show + if value is No	
${riskAssessment-b3_4_y}	b3_4 show + if value is Yes	
${riskAssessment-b3_4_n}	b3_4 show + if value is No	
${riskAssessment-b3_5_y}	b3_5 show + if value is Yes	
${riskAssessment-b3_5_n}	b3_5 show + if value is No	
${riskAssessment-b3_6_y}	b3_6 show + if value is Yes	
${riskAssessment-b3_6_n}	b3_6 show + if value is No	
${riskAssessment-b3_7_y}	b3_7 show + if value is Yes	
${riskAssessment-b3_7_n}	b3_7 show + if value is No	
${riskAssessment-b3_8_y}	b3_8 show + if value is Yes	
${riskAssessment-b3_8_n}	b3_8 show + if value is No	
${clientFutureStakeholder-name}	Name of Future Stakeholder who created the Company	
${clientFutureStakeholder-passport}	Passport of Future Stakeholder who created the Company	
${knowYourClient-b11}	Client acceptance form - Which countries does your business primarily conduct transactions with?	
${knowYourClient-b12}	What is the reason for choosing to set up company in $country_name.	
${knowYourClient-b13}	Client acceptance form - If you have more than one company, could you provide the names of them?	
${knowYourClient-b14}	Client acceptance form - Is yours business cash-intensive or does your business require significant cash investments? Please describe the cash flow nature of your business.	
${knowYourClient-b15}	Client acceptance form - Does the Director or Owner frequently make unaccounted cash transactions to similar recipient(s)? or Does the business frequently engage in unrecorded cash transactions with the same recipient(s)?	
${knowYourClient-b16}	Client acceptance form - What are the industries or sectors that typically involve revenue generation through sales of tangible products and services?	
